366
using device: cuda
Iteration 0, loss = 0.0482
Iteration 670, loss = 0.0002

Iteration 675, loss = 0.0002

Iteration 680, loss = 0.0003

Iteration 685, loss = 0.0002

Iteration 690, loss = 0.0002

Iteration 695, loss = 0.0003

Iteration 700, loss = 0.0002

Iteration 705, loss = 0.0002

Iteration 710, loss = 0.0003

Iteration 715, loss = 0.0003

Iteration 720, loss = 0.0002

Iteration 725, loss = 0.0002

Iteration 730, loss = 0.0003

Iteration 735, loss = 0.0002

Iteration 740, loss = 0.0002

Iteration 745, loss = 0.0002

Iteration 750, loss = 0.0002

Iteration 755, loss = 0.0002

Iteration 760, loss = 0.0002

Iteration 765, loss = 0.0002

Iteration 770, loss = 0.0002

Iteration 775, loss = 0.0002

Iteration 780, loss = 0.0002

Iteration 785, loss = 0.0003

Iteration 790, loss = 0.0003

Iteration 795, loss = 0.0002

Iteration 800, loss = 0.0002

Iteration 805, loss = 0.0002

Iteration 810, loss = 0.0003

Iteration 815, loss = 0.0003

Iteration 820, loss = 0.0002

Iteration 825, loss = 0.0002

Iteration 830, loss = 0.0002

Iteration 835, loss = 0.0002

Iteration 840, loss = 0.0002

Iteration 845, loss = 0.0002

Iteration 850, loss = 0.0002

Iteration 855, loss = 0.0002

Iteration 860, loss = 0.0002

Iteration 865, loss = 0.0003

Iteration 870, loss = 0.0002

Iteration 875, loss = 0.0001

Iteration 880, loss = 0.0002

Iteration 885, loss = 0.0002

Iteration 890, loss = 0.0002

Iteration 895, loss = 0.0002

Iteration 900, loss = 0.0003

Iteration 905, loss = 0.0002

Iteration 910, loss = 0.0002

Iteration 915, loss = 0.0002

Iteration 920, loss = 0.0002

Iteration 925, loss = 0.0002

Iteration 930, loss = 0.0002

Iteration 935, loss = 0.0002

Iteration 940, loss = 0.0002

Iteration 945, loss = 0.0002

Iteration 950, loss = 0.0002

Iteration 955, loss = 0.0002

Iteration 960, loss = 0.0003

Iteration 965, loss = 0.0002

Iteration 970, loss = 0.0002

Iteration 975, loss = 0.0002

Iteration 980, loss = 0.0001

Iteration 985, loss = 0.0002

Iteration 990, loss = 0.0002

Iteration 995, loss = 0.0001

Iteration 1000, loss = 0.0002

Iteration 1005, loss = 0.0001

Iteration 1010, loss = 0.0002

Iteration 1015, loss = 0.0002

Iteration 1020, loss = 0.0002

Iteration 1025, loss = 0.0002

Iteration 1030, loss = 0.0002

Iteration 1035, loss = 0.0002

Iteration 1040, loss = 0.0002

Iteration 1045, loss = 0.0002

Iteration 1050, loss = 0.0003

Iteration 1055, loss = 0.0002

Iteration 1060, loss = 0.0002

Iteration 1065, loss = 0.0002

Iteration 1070, loss = 0.0002

Iteration 1075, loss = 0.0002

